text,pos,neg,distance
걸아.. 청명이를 따라하고 싶었느냐.. 다음이라니.. 깡패였니 너가..,0,0,0
다음!하는거 청명같음ㅠㅜ,0,0,0
조걸,0,0,0
아니 사형제가 실력발휘를 했는데 아무도 칭찬안해주고 조롱함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0
8번째 정주항 ㄴㅇㅅ,0,0,0
막짤 개소름돋는다 불쾌한골짜기;;,0,0,0
아 청명이 얼굴 망가뜨리는거 개사랑함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌ,0,0,0
그 단어 다음 ㅋㅋㅋ,0,0,0
잘 가 조걸 다음 생엔 더 행복하길,0,0,0
네~ 걱정이 하나도 안되네요 ㅎㅎ 차피 조걸이 휘리리리휙 해서 뿌리칠거구요 아님 청명이가 빛의속도로 쉬리쉬리쉭 와서 뿌리칠거에요 ㅎ,0,0,0
연재속도꼬라지 진짜 귀싸대기 존나마렵네,1,1,0
다음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0
ㅋㅋ,0,0,0
"랑팡파 랑팡파 탕창파 앙랑..청퍼얼 앋랑..청퍼얼😀😀 청창팔학팥창팥창 루이, 후이야 푸 언니처럼 잘😀😀 자라야😀😀 해😀😀",0,0,0
https://cafe.naver.com/hsghfancafe/3996,0,0,0
전부터 동룡이 입술 클로즈업되면 연하게 틴트 발라져있는게 저에겐 좀 웃포인트임... 참나 공설 미인인거 너무 티내네....,0,0,0
캬아 청명 만나서 발전했다 비록 많이 맞았지만ㅋㅋ,0,1,-1
조걸이가 당호 잡은게 칠성보였구나 이런 깨알 디테일 사랑해요 리코팀,0,0,0
캬,0,0,0
당호 복장이랑 자세가 네시같네 ㅋㅋㅋ,0,0,0
하지만 피했죠?,1,0,1
도라에몽 소매,1,0,1
조걸이 위험하다,1,0,1
아니 눈빛 더 더러운게 누구 눈빛이 맘에 들지 않아ㅋㅋㅋㅋ 진지하게 보다가 저 대사에서 뿜었네ㅋㅋㅋㅋㅋㅋㅋㅋ,1,0,1
백천 진짜 립밤 뭐쓰냐,2,0,2
가슴도 차갑게 하려고 웃통 깐겨?,1,0,1
지금 부모들이 애들 키우는 교육방식은 품에 끼고 돌보는것. 이러니 성장을 못하고 개념이 없어지는듯 혼나면서 배우기도 해야 올바르게 크는건데,1,0,1
재미있다,1,0,1
미친 눈 좋아여,1,0,1
당가의 실력은 미모에 비례합니까?,1,0,1
차갑게..차갑게..차갑게..빙수먹고싶다..,0,0,0
그래서 이설이 어디갔음,1,0,1
아 형 언제와 쿠키 다구웠어..,1,0,1
당가놈 흥분한 표정인데?,0,0,0
ㅂㅂ비ㅓ컹유유두옹9,0,0,0
아니 다음화 썸네일 보니까 조걸 주마등 보고 죽는거 같잖아..ㅋㅋㅋㅋㅋ,0,0,0
미리보기 언제낭하아아아아,0,0,0
???:'다음',0,0,0
질질끄는거 없다 재미만 있구만 뭘 글로 담아내는 내용과 그림으로 담아낼 수 있는게 다른거겠지,0,0,0
작가 새.끼 소설 하나로 평생놀고먹을려고 질질끄는거 역겹다,0,3,-3
처음에 청진보고 사죄?뭐 한다길래 걔가 매화검법 빼돌린줄알음,1,0,1
질질질질질질 존나끄네진짜,1,4,-3
당잔 존나 잘생겼네. 저 비침에 맞아 쓰러지고싶다.그냥 내 눈엔 큐피트로 보임 .,1,0,1
2합이 한 편이라니...ㅠㅠ,0,0,0
대으음~~ 대으음ㅋㅋㅋㅋㅋㅋㅋ,1,0,1
진짜 띵언입니다,0,0,0
작가들아ㅜ진짜 청명이 얼굴 제대로 그리라곴ㅍ진짜 하 쫌 아 ㅅㅂㄷ비ㅏ다여툐여텨툐ㅕㅛㅛㅛㅛㅛ 아니 작가들 생각이 모자람? 화귀는 여독자도 많은데 여독자들 대부분이 청명이 얼굴빨로 빠는데 청명이 얼굴을 냅다 갖다 버리면 어쩌자는거임m아니 소설 묘사도 있긴하지만 이건 아니지 하.. 아니면 잘생기게 그릴땐 힘 빡줘서 그리던지 잘생기게 그릴때도 1부에 비해 한없이 빈약하고; 화산귀환 2부는 망작이 맞다. 작화? 늘어지고 스토리? 말할것도 없음 ㅋㅋ 각색은 대체 왜하는거임? 아니 하기는 함? 전혀 줄어들지가 않았는데 에휴 ㅋㅋ 이정도 전개 속도로 재미가 있겠음?,0,5,-5
웃어?,0,0,0
내가 화귀 소장을 안하는 이유: 어차피 지금 소설 분량만 해도 과장 없이 10년은 더 볼 수 있음 지금 소설기준 한 2백 몇화 정도 왔을텐데 원작은 지금 2000화를 향해 달려가는 중 지금 200화 오기까지 3년이 걸렷는데 얼마나 어래벌 수 있을지ㅋㅋ,0,2,-2
99강몽둥이에서 나오길래 어찌저찌 요기 까지 왔네 ...,0,0,0
연출 👍 최고여요,0,0,0
낭만,0,0,0
30년 뒤에나 끝나겠다 이웹툰 ㅋㅋ,3,4,-1
조걸이 다치게 하면 내가 간다!!!조걸이 다칠시 다치게 한친구 🔪🩸하러 같이갈사람 구해요(10000/1) 그래도 조걸리가 이길것같긴하쥐만,1,2,-1
아씨 그냥 빨리싸워!!!,1,3,-2
당보보고싶다,1,1,0
청명: 다음. (세상 섹시하고 냉정하고 무심하고 간지나게)조걸: 다음! (누가봐도 나 존나 신났어요를 티내듯이),125,0,125
일주일에 하나씩이니 다 까먹었네,0,0,0
애들 키우기 힘드넼ㅋㅋㅋㅋ,0,0,0
휴재 이후로는 그냥 빠르게 보는 만화 중에 하나 ㅋㅋ내용이 없음,4,6,-2
하.. 너무 재밌어서 보다보니 끝났네.. 더 줘 주인장 더 줘!!!,1,0,1
근데 조걸 팔 하나 없으면 머리도 빨간색 이겠다 샹크스 닮았겠는데?,0,1,-1
조걸:'다음'이라고 말하고 다음순간 '아차'싶더라고요,1,0,1
"""다음!""나 이거 꼭 한번 해보고 싶었어! 크으! —화산귀환 187화 중",6,0,6
자 과거 회상은 뭐다????,0,0,0
당잔 매력잇네요,0,0,0
중간에 가슴 또한 차갑게ㅋㅋㅋ,0,0,0
