Word,Count
to,4083
the,4046
of,3583
and,3377
her,2125
I,2041
a,1887
was,1832
in,1804
that,1497
not,1387
she,1366
it,1273
be,1259
his,1176
had,1146
you,1131
as,1124
he,1089
for,1039
with,1024
have,827
is,827
Mr,782
him,758
at,751
on,681
but,657
by,621
all,600
my,592
so,569
Elizabeth,569
were,559
which,533
been,513
could,510
they,476
very,470
from,468
would,461
them,437
no,437
me,430
your,413
their,408
said,401
what,397
will,394
this,374
Darcy,371
such,371
an,350
Mrs,343
much,323
more,323
She,323
are,320
But,316
am,315
must,306
do,303
or,292
when,290
there,288
Bennet,287
Miss,281
than,281
who,274
any,273
The,273
Jane,260
if,254
did,252
one,248
Bingley,246
should,246
It,245
know,234
He,233
herself,216
before,216
has,215
soon,214
never,212
some,210
think,209
though,208
other,208
only,207
time,200
can,199
might,199
You,198
now,196
every,191
most,187
we,186
own,183
may,183
little,182
well,178
sister,176
again,175
good,170
being,168
how,167
make,165
after,161
without,160
then,159
say,157
nothing,156
Collins,156
shall,155
And,153
man,151
Wickham,149
see,149
dear,149
out,143
great,143
rst,142
too,141
into,141
family,140
ever,137
Lady,136
day,131
two,128
Lydia,128
young,127
made,125
They,124
us,122
himself,122
however,122
give,121
hope,120
last,118
My,117
away,116
father,115
always,115
room,115
about,114
many,114
letter,113
up,112
sure,111
thought,111
cannot,109
sisters,108
mother,107
way,107
Catherine,106
enough,105
friend,103
replied,103
its,101
saw,101
felt,99
long,99
go,99
house,97
quite,96
wish,95
Lizzy,94
over,92
manner,92
better,92
ing,91
love,91
cried,91
If,90
Oh,90
came,90
often,89
done,89
having,88
myself,88
heard,86
till,86
pleasure,86
really,85
come,85
where,85
In,85
Her,85
whom,84
believe,83
Longbourn,83
feelings,80
happy,80
When,80
less,80
even,80
like,79
whole,79
His,79
Gardiner,78
aunt,78
does,78
take,77
What,77
subject,76
anything,76
seen,75
morning,75
ladies,74
daughter,74
looked,73
down,73
still,72
place,72
hear,72
just,72
our,71
evening,71
few,71
added,71
indeed,71
Nethereld,70
same,69
therefore,69
Kitty,69
present,68
both,68
told,68
next,68
This,67
able,67
world,66
found,66
tell,66
seemed,66
went,66
How,66
home,65
left,65
happiness,65
something,65
least,65
nor,64
Charlotte,64
speak,64
opinion,64
answer,64
upon,64
marriage,64
each,63
town,63
attention,63
Lucas,63
Colonel,63
off,62
yet,62
There,62
kind,62
while,62
together,61
Chapter,61
part,61
brother,61
passed,61
friends,61
gone,61
towards,60
moment,60
seeing,60
certainly,60
married,60
these,59
de,59
whose,59
leave,59
here,59
known,59
received,58
knew,58
began,58
because,58
look,58
We,58
far,57
nd,57
means,57
either,57
between,57
affection,57
uncle,57
As,57
almost,57
character,57
party,56
perhaps,56
life,56
once,56
three,56
daughters,55
Meryton,55
rather,55
coming,55
woman,55
going,55
given,55
since,54
side,54
gave,54
Yes,54
those,54
mind,54
walk,53
possible,53
London,53
Bingleys,53
get,53
took,53
whether,52
let,52
others,52
That,52
another,52
ill,51
conversation,51
thing,51
against,51
